Title,Price,Image Url,Rating,Product Link,Description,ScrapedAt,Price_Numeric,Rating_Numeric
Lenovo Smartchoice Ideapad Slim 3 13Th Gen Intel Core I7-13620H 15.3 Inch(38.8Cm...,"₹57,990",https://m.media-amazon.com/images/I/71IjxF4prWL._AC_UY218_.jpg,4.0 out of 5 stars,https://www.amazon.in/dp/B0F2162VGQ,"Processor: Intel Core i7-13620H | Speed: 2.4 GHz (Base) - 4.9 GHz (Max), E-core 1.8 / 3.6GHz | 10 Cores | 16 Threads | 24MB Cache | Display: 15.3"" FHD (1920x1200) | 300Nits Brightness | Anti Glare |TUV Low Blue Light Certified | Memory and Storage: 8GB Soldered DDR5-4800 + 8GB SO-DIMM DDR5-4800, Max...",2025-09-22T09:51:26.770674Z,57990,4.0
"Dell Inspiron 3535, AMD Ryzen 5-7530U, 16GB RAM, 512GB SSD, FHD WVA IPS 15.6""/39...","₹40,990",https://m.media-amazon.com/images/I/61diqHMquqL._AC_UY218_.jpg,4.0 out of 5 stars,https://www.amazon.in/dp/B0DSFRQTGB,"R5-7530U | 16GB DDR4 | 512GB SSD | Win 11 + Office H&S 2024 | Radeon Graphics | 15.6"" NT FHD 120Hz WVA IPS AG 250 nit Narrow Border LED-Backlit | Standard Keyboard | 1 Year Onsite Hardware Service| Platinum Silver",2025-09-22T09:51:24.814608Z,40990,4.0
"HP Pavilion x360, 13th Gen Intel Core i5-1335U (16GB DDR4, 512GB SSD) Touchscree...","₹64,990",https://m.media-amazon.com/images/I/618zAXbM4uL._AC_UY218_.jpg,3.7 out of 5 stars,https://www.amazon.in/dp/B0CJ2KWNNQ,"Processor - Intel Core i5-1335U (up to 4.6 GHz with Intel Turbo Boost Technology(2g), 12 MB L3 cache, 10 cores, 12 threads) ; Memory - 16 GB DDR4-3200 MHz RAM (onboard) ; Storage - 512 GB PCIe NVMe M.2 SSD | Display and Graphics - 35.6 cm (14"") diagonal, FHD, multitouch-enabled, IPS, edge-to-edge gl...",2025-09-22T09:51:23.153871Z,64990,3.7
"Acer Aspire Lite, AMD Ryzen 3 5300U Processor, 16 GB RAM, 512GB SSD, Full HD, 15...","₹26,490",https://m.media-amazon.com/images/I/513p8BwV-RL._AC_UY218_.jpg,3.9 out of 5 stars,https://www.amazon.in/dp/B0CWTYGPH8,"Processor: AMD Ryzen 3 7330U processor with AMD Radeon Graphics | Visibly Stunning: 15.6"" Full HD TN 1920 x 1080, high-brightness TFT LCD : 16:9 aspect ratio, Ultra-slim design ,Mercury free, environment friendly | Internal Specifications: RAM - Dual channel DDR4, 2 SODIMM sockets, 16 GB of DDR4 Mem...",2025-09-22T09:51:30.939086Z,26490,3.9
"HP Professional 15 (2025), Intel Core i5 13th Gen 1334U - (8 GB/512 GB SSD/Intel...","₹50,490",https://m.media-amazon.com/images/I/319zXMOVG-L._AC_UY218_.jpg,N/A,https://www.amazon.in/dp/B0C73VYW1X,"The Professional 15, powered by the efficient 13th-generation Intel Core i5‑1334U (with up to 4.6 GHz Turbo Boost and 10 cores/12 threads), paired with 8GB DDR4 RAM and fast PCIe NVMe SSD storage, shines as an everyday productivity laptop. It’s ideal for tasks like web browsing, office work, academi...",2025-09-22T09:51:30.639067Z,50490,
"acer Aspire Go 14, Intel Core Ultra 5 125H (14th Gen),16GB DDR5 RAM/512GB SSD, W...","₹45,990",https://m.media-amazon.com/images/I/71JI131B9SL._AC_UY218_.jpg,3.7 out of 5 stars,https://www.amazon.in/dp/B0FDL57MKD,"Processor : Intel Core Ultra 5 125H processor(3.6 GHz base clock, up to 4.5 GHz max boost clock, 18 MB L3 cache, 14 cores) | Memory: 16 GB of DDR5 system memory, Upgradable to 32 GB using two soDIMM modules | Storage: 512 GB, PCIe Gen3, 8 Gb/s up to 4 lanes, NVMe; upgradable up to 1TB with M.2 | Ope...",2025-09-22T09:51:31.633901Z,45990,3.7
"ASUS ROG Strix G16, AMD Ryzen 9 8940HX, Gaming Laptop(RTX 5050-8GB/115W TGP/16GB...","₹1,37,490",https://m.media-amazon.com/images/I/71EIItvt4bL._AC_UY218_.jpg,5.0 out of 5 stars,https://www.amazon.in/dp/B0FB9G9XVG,"Processor : AMD Ryzen 9 8940HX Processor 2.4GHz (80MB Cache, up to 5.3GHz, 16 cores, 32 Threads) | Display : 16-inch, FHD+ 16:10 (1920 x 1200, WUXGA), 165Hz Refresh Rate, 300nits Brightness, Anti-glare display, 100% SRGB | Keyboard : Backlit Chiclet Keyboard 4-Zone RGB with Copilot key | Memory : 16...",2025-09-22T09:51:31.169166Z,137490,5.0
Acer [SmartChoice Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 G...,"₹21,490",https://m.media-amazon.com/images/I/71TpwcAN1PL._AC_UY218_.jpg,3.4 out of 5 stars,https://www.amazon.in/dp/B0D7PYTTGH,"Processor : Whether you're at home, school, or work, get all the performance you need with the latest Intel Celeron N4500 Processor @ 1.10GHz ( 2 Cores, 4M Cache, up to 2.80 GHz); maintaining order and keeping your apps running consistently and smoothly. | Performance : 8GB LPDDR4X RAM for full-powe...",2025-09-22T09:51:33.262057Z,21490,3.4
"(Refurbished) HP OmniBook 5 (Previously Pavilion), QC Snapdragon X (16GB LPDDR5x...","₹59,661",https://m.media-amazon.com/images/I/71fHNU8KnQL._AC_UY218_.jpg,N/A,https://www.amazon.in/dp/B0FKN8YT3F,N/A,2025-09-22T09:51:37.309386Z,59661,
Lenovo Smartchoice Ideapad Slim 3 13Th Gen Intel Core I7-13620H 15.3 Inch(38.8Cm...,"₹57,990",https://m.media-amazon.com/images/I/71IjxF4prWL._AC_UY218_.jpg,4.0 out of 5 stars,https://www.amazon.in/dp/B0F2162VGQ,"Processor: Intel Core i7-13620H | Speed: 2.4 GHz (Base) - 4.9 GHz (Max), E-core 1.8 / 3.6GHz | 10 Cores | 16 Threads | 24MB Cache | Display: 15.3"" FHD (1920x1200) | 300Nits Brightness | Anti Glare |TUV Low Blue Light Certified | Memory and Storage: 8GB Soldered DDR5-4800 + 8GB SO-DIMM DDR5-4800, Max...",2025-09-22T09:51:40.698491Z,57990,4.0
"Dell Inspiron 3535, Windows 11 Home, AMD Ryzen 3 7320U Processor, (8GB RAM/512GB...","₹29,990",https://m.media-amazon.com/images/I/61Kfqt-h5-L._AC_UY218_.jpg,4.0 out of 5 stars,https://www.amazon.in/dp/B0DG5CY2Y2,"Lightweight and Portable|Weighing only 1.67 kg, this laptop is perfect for students and professionals who are always on-the-go. | |Powerful Performance|Experience the power of the AMD Ryzen 3 7320U processor, with 6 MB of total cache and 4 cores, designed for serious productivity and multitasking. |...",2025-09-22T09:51:37.157868Z,29990,4.0
